Zeitstempel,Covid restrictions,Flu season
01.01.18,0,1
02.01.18,0,1
03.01.18,0,1
04.01.18,0,1
05.01.18,0,1
06.01.18,0,1
07.01.18,0,1
08.01.18,0,1
09.01.18,0,1
10.01.18,0,1
11.01.18,0,1
12.01.18,0,1
13.01.18,0,1
14.01.18,0,1
15.01.18,0,1
16.01.18,0,1
17.01.18,0,1
18.01.18,0,1
19.01.18,0,1
20.01.18,0,1
21.01.18,0,1
22.01.18,0,1
23.01.18,0,1
24.01.18,0,1
25.01.18,0,1
26.01.18,0,1
27.01.18,0,1
28.01.18,0,1
29.01.18,0,1
30.01.18,0,1
31.01.18,0,1
01.02.18,0,1
02.02.18,0,1
03.02.18,0,1
04.02.18,0,1
05.02.18,0,1
06.02.18,0,1
07.02.18,0,1
08.02.18,0,1
09.02.18,0,1
10.02.18,0,1
11.02.18,0,1
12.02.18,0,1
13.02.18,0,1
14.02.18,0,1
15.02.18,0,1
16.02.18,0,1
17.02.18,0,1
18.02.18,0,1
19.02.18,0,1
20.02.18,0,1
21.02.18,0,1
22.02.18,0,1
23.02.18,0,1
24.02.18,0,1
25.02.18,0,1
26.02.18,0,1
27.02.18,0,1
28.02.18,0,1
01.03.18,0,1
02.03.18,0,1
03.03.18,0,1
04.03.18,0,1
05.03.18,0,1
06.03.18,0,1
07.03.18,0,1
08.03.18,0,1
09.03.18,0,1
10.03.18,0,1
11.03.18,0,1
12.03.18,0,1
13.03.18,0,1
14.03.18,0,1
15.03.18,0,1
16.03.18,0,1
17.03.18,0,1
18.03.18,0,1
19.03.18,0,1
20.03.18,0,1
21.03.18,0,1
22.03.18,0,1
23.03.18,0,1
24.03.18,0,1
25.03.18,0,1
26.03.18,0,1
27.03.18,0,1
28.03.18,0,1
29.03.18,0,1
30.03.18,0,1
31.03.18,0,1
01.04.18,0,1
02.04.18,0,1
03.04.18,0,1
04.04.18,0,1
05.04.18,0,1
06.04.18,0,1
07.04.18,0,1
08.04.18,0,1
09.04.18,0,1
10.04.18,0,1
11.04.18,0,1
12.04.18,0,1
13.04.18,0,1
14.04.18,0,1
15.04.18,0,1
16.04.18,0,1
17.04.18,0,1
18.04.18,0,1
19.04.18,0,1
20.04.18,0,1
21.04.18,0,1
22.04.18,0,1
23.04.18,0,1
24.04.18,0,1
25.04.18,0,1
26.04.18,0,1
27.04.18,0,1
28.04.18,0,1
29.04.18,0,1
30.04.18,0,1
01.05.18,0,1
02.05.18,0,1
03.05.18,0,1
04.05.18,0,1
05.05.18,0,1
06.05.18,0,1
07.05.18,0,1
08.05.18,0,1
09.05.18,0,1
10.05.18,0,1
11.05.18,0,1
12.05.18,0,1
13.05.18,0,1
14.05.18,0,1
15.05.18,0,1
16.05.18,0,1
17.05.18,0,1
18.05.18,0,1
19.05.18,0,1
20.05.18,0,1
21.05.18,0,1
22.05.18,0,1
23.05.18,0,1
24.05.18,0,1
25.05.18,0,1
26.05.18,0,1
27.05.18,0,1
28.05.18,0,1
29.05.18,0,1
30.05.18,0,1
31.05.18,0,1
01.06.18,0,0
02.06.18,0,0
03.06.18,0,0
04.06.18,0,0
05.06.18,0,0
06.06.18,0,0
07.06.18,0,0
08.06.18,0,0
09.06.18,0,0
10.06.18,0,0
11.06.18,0,0
12.06.18,0,0
13.06.18,0,0
14.06.18,0,0
15.06.18,0,0
16.06.18,0,0
17.06.18,0,0
18.06.18,0,0
19.06.18,0,0
20.06.18,0,0
21.06.18,0,0
22.06.18,0,0
23.06.18,0,0
24.06.18,0,0
25.06.18,0,0
26.06.18,0,0
27.06.18,0,0
28.06.18,0,0
29.06.18,0,0
30.06.18,0,0
01.07.18,0,0
02.07.18,0,0
03.07.18,0,0
04.07.18,0,0
05.07.18,0,0
06.07.18,0,0
07.07.18,0,0
08.07.18,0,0
09.07.18,0,0
10.07.18,0,0
11.07.18,0,0
12.07.18,0,0
13.07.18,0,0
14.07.18,0,0
15.07.18,0,0
16.07.18,0,0
17.07.18,0,0
18.07.18,0,0
19.07.18,0,0
20.07.18,0,0
21.07.18,0,0
22.07.18,0,0
23.07.18,0,0
24.07.18,0,0
25.07.18,0,0
26.07.18,0,0
27.07.18,0,0
28.07.18,0,0
29.07.18,0,0
30.07.18,0,0
31.07.18,0,0
01.08.18,0,0
02.08.18,0,0
03.08.18,0,0
04.08.18,0,0
05.08.18,0,0
06.08.18,0,0
07.08.18,0,0
08.08.18,0,0
09.08.18,0,0
10.08.18,0,0
11.08.18,0,0
12.08.18,0,0
13.08.18,0,0
14.08.18,0,0
15.08.18,0,0
16.08.18,0,0
17.08.18,0,0
