Zeitstempel,Ferientyp,Ferien_bool
2017-12-23,Wiehnachtsferien,1
2017-12-24,Wiehnachtsferien,1
2017-12-25,Wiehnachtsferien,1
2017-12-26,Wiehnachtsferien,1
2017-12-27,Wiehnachtsferien,1
2017-12-28,Wiehnachtsferien,1
2017-12-29,Wiehnachtsferien,1
2017-12-30,Wiehnachtsferien,1
2017-12-31,Wiehnachtsferien,1
2018-01-01,Wiehnachtsferien,1
2018-01-02,Wiehnachtsferien,1
2018-01-03,Wiehnachtsferien,1
2018-01-04,Wiehnachtsferien,1
2018-01-05,Wiehnachtsferien,1
2018-01-06,Wiehnachtsferien,1
2018-01-07,Wiehnachtsferien,1
2018-04-07,Frühlingsferien,1
2018-04-08,Frühlingsferien,1
2018-04-09,Frühlingsferien,1
2018-04-10,Frühlingsferien,1
2018-04-11,Frühlingsferien,1
2018-04-12,Frühlingsferien,1
2018-04-13,Frühlingsferien,1
2018-04-14,Frühlingsferien,1
2018-04-15,Frühlingsferien,1
2018-04-16,Frühlingsferien,1
2018-04-17,Frühlingsferien,1
2018-04-18,Frühlingsferien,1
2018-04-19,Frühlingsferien,1
2018-04-20,Frühlingsferien,1
2018-04-21,Frühlingsferien,1
2018-04-22,Frühlingsferien,1
2018-07-07,Sommerferien,1
2018-07-08,Sommerferien,1
2018-07-09,Sommerferien,1
2018-07-10,Sommerferien,1
2018-07-11,Sommerferien,1
2018-07-12,Sommerferien,1
2018-07-13,Sommerferien,1
2018-07-14,Sommerferien,1
2018-07-15,Sommerferien,1
2018-07-16,Sommerferien,1
2018-07-17,Sommerferien,1
2018-07-18,Sommerferien,1
2018-07-19,Sommerferien,1
2018-07-20,Sommerferien,1
2018-07-21,Sommerferien,1
2018-07-22,Sommerferien,1
2018-07-23,Sommerferien,1
2018-07-24,Sommerferien,1
2018-07-25,Sommerferien,1
2018-07-26,Sommerferien,1
2018-07-27,Sommerferien,1
2018-07-28,Sommerferien,1
2018-07-29,Sommerferien,1
2018-07-30,Sommerferien,1
2018-07-31,Sommerferien,1
2018-08-01,Sommerferien,1
2018-08-02,Sommerferien,1
2018-08-03,Sommerferien,1
2018-08-04,Sommerferien,1
2018-08-05,Sommerferien,1
2018-08-06,Sommerferien,1
2018-08-07,Sommerferien,1
2018-08-08,Sommerferien,1
2018-08-09,Sommerferien,1
2018-08-10,Sommerferien,1
2018-08-11,Sommerferien,1
2018-08-12,Sommerferien,1
2018-09-29,Herbstferien,1
2018-09-30,Herbstferien,1
2018-10-01,Herbstferien,1
2018-10-02,Herbstferien,1
2018-10-03,Herbstferien,1
2018-10-04,Herbstferien,1
2018-10-05,Herbstferien,1
2018-10-06,Herbstferien,1
2018-10-07,Herbstferien,1
2018-10-08,Herbstferien,1
2018-10-09,Herbstferien,1
2018-10-10,Herbstferien,1
2018-10-11,Herbstferien,1
2018-10-12,Herbstferien,1
2018-10-13,Herbstferien,1
2018-10-14,Herbstferien,1
2018-10-15,Herbstferien,1
2018-10-16,Herbstferien,1
2018-10-17,Herbstferien,1
2018-10-18,Herbstferien,1
2018-10-19,Herbstferien,1
2018-10-20,Herbstferien,1
2018-10-21,Herbstferien,1
2018-12-22,Wiehnachtsferien,1
2018-12-23,Wiehnachtsferien,1
2018-12-24,Wiehnachtsferien,1
2018-12-25,Wiehnachtsferien,1
2018-12-26,Wiehnachtsferien,1
