Woche,mocafe Lichtensteiger: (Schweiz),mocafe: (Schweiz),summe
2018-01-07,0,0,0
2018-01-14,0,0,0
2018-01-21,0,72,72
2018-01-28,0,0,0
2018-02-04,36,0,36
2018-02-11,0,0,0
2018-02-18,0,0,0
2018-02-25,0,0,0
2018-03-04,0,42,42
2018-03-11,0,0,0
2018-03-18,0,0,0
2018-03-25,0,26,26
2018-04-01,0,0,0
2018-04-08,24,0,24
2018-04-15,32,0,32
2018-04-22,0,0,0
2018-04-29,30,43,73
2018-05-06,0,0,0
2018-05-13,31,0,31
2018-05-20,0,0,0
2018-05-27,0,45,45
2018-06-03,0,0,0
2018-06-10,0,0,0
2018-06-17,0,0,0
2018-06-24,42,0,42
2018-07-01,27,0,27
2018-07-08,0,0,0
2018-07-15,0,0,0
2018-07-22,0,0,0
2018-07-29,28,0,28
2018-08-05,0,0,0
2018-08-12,0,0,0
2018-08-19,0,0,0
2018-08-26,47,0,47
2018-09-02,0,0,0
2018-09-09,65,0,65
2018-09-16,0,0,0
2018-09-23,0,0,0
2018-09-30,51,0,51
2018-10-07,27,0,27
2018-10-14,0,0,0
2018-10-21,0,0,0
2018-10-28,78,0,78
2018-11-04,0,0,0
2018-11-11,0,100,100
2018-11-18,28,0,28
2018-11-25,0,0,0
2018-12-02,0,0,0
2018-12-09,0,45,45
2018-12-16,0,0,0
2018-12-23,0,0,0
2018-12-30,0,0,0
2019-01-06,0,0,0
2019-01-13,0,0,0
2019-01-20,0,0,0
2019-01-27,0,0,0
2019-02-03,0,0,0
2019-02-10,0,34,34
2019-02-17,0,0,0
2019-02-24,37,0,37
2019-03-03,0,0,0
2019-03-10,0,0,0
2019-03-17,0,0,0
2019-03-24,0,0,0
2019-03-31,0,0,0
2019-04-07,0,0,0
2019-04-14,0,75,75
2019-04-21,0,0,0
2019-04-28,0,0,0
2019-05-05,0,0,0
2019-05-12,0,0,0
2019-05-19,0,44,44
2019-05-26,0,0,0
2019-06-02,0,0,0
2019-06-09,0,31,31
2019-06-16,0,37,37
2019-06-23,0,0,0
2019-06-30,89,0,89
2019-07-07,0,53,53
2019-07-14,0,0,0
2019-07-21,0,30,30
2019-07-28,61,0,61
2019-08-04,32,0,32
2019-08-11,0,0,0
2019-08-18,0,0,0
2019-08-25,42,55,97
2019-09-01,0,0,0
2019-09-08,0,0,0
2019-09-15,0,0,0
2019-09-22,0,30,30
2019-09-29,0,0,0
2019-10-06,36,0,36
2019-10-13,0,34,34
2019-10-20,0,0,0
2019-10-27,0,0,0
2019-11-03,0,0,0
2019-11-10,0,0,0
2019-11-17,0,0,0
2019-11-24,0,0,0
2019-12-01,0,0,0
2019-12-08,0,64,64
2019-12-15,24,0,24
2019-12-22,0,0,0
2019-12-29,0,0,0
2020-01-05,0,0,0
2020-01-12,0,0,0
2020-01-19,0,0,0
2020-01-26,0,0,0
2020-02-02,0,0,0
2020-02-09,84,32,116
2020-02-16,50,0,50
2020-02-23,0,0,0
2020-03-01,44,0,44
2020-03-08,23,0,23
2020-03-15,0,0,0
2020-03-22,0,19,19
2020-03-29,0,0,0
2020-04-05,0,0,0
2020-04-12,0,0,0
2020-04-19,0,0,0
2020-04-26,0,37,37
2020-05-03,0,0,0
2020-05-10,0,0,0
2020-05-17,24,0,24
2020-05-24,0,0,0
2020-05-31,0,0,0
2020-06-07,0,34,34
2020-06-14,0,68,68
2020-06-21,0,0,0
2020-06-28,53,0,53
2020-07-05,0,0,0
2020-07-12,0,0,0
2020-07-19,0,0,0
2020-07-26,0,0,0
2020-08-02,0,0,0
2020-08-09,0,0,0
2020-08-16,0,0,0
2020-08-23,27,0,27
2020-08-30,20,0,20
2020-09-06,0,43,43
2020-09-13,0,33,33
2020-09-20,55,0,55
2020-09-27,0,0,0
2020-10-04,0,47,47
2020-10-11,0,0,0
2020-10-18,0,0,0
2020-10-25,0,0,0
2020-11-01,31,0,31
2020-11-08,0,26,26
2020-11-15,0,29,29
2020-11-22,0,0,0
2020-11-29,0,0,0
2020-12-06,23,0,23
2020-12-13,0,58,58
2020-12-20,0,0,0
2020-12-27,0,0,0
2021-01-03,0,80,80
2021-01-10,0,23,23
2021-01-17,45,0,45
2021-01-24,0,0,0
2021-01-31,0,57,57
2021-02-07,0,0,0
2021-02-14,0,0,0
2021-02-21,40,0,40
2021-02-28,0,0,0
2021-03-07,33,22,55
2021-03-14,0,52,52
2021-03-21,0,49,49
2021-03-28,0,25,25
2021-04-04,26,0,26
2021-04-11,0,0,0
2021-04-18,52,52,104
2021-04-25,50,0,50
2021-05-02,0,0,0
2021-05-09,0,46,46
2021-05-16,0,21,21
2021-05-23,0,26,26
2021-05-30,0,28,28
2021-06-06,39,0,39
2021-06-13,33,26,59
2021-06-20,0,21,21
2021-06-27,0,32,32
2021-07-04,0,0,0
2021-07-11,0,0,0
2021-07-18,0,0,0
2021-07-25,0,0,0
2021-08-01,0,0,0
2021-08-08,0,0,0
2021-08-15,0,0,0
2021-08-22,0,0,0
2021-08-29,36,30,66
2021-09-05,0,0,0
2021-09-12,0,0,0
2021-09-19,0,71,71
2021-09-26,0,96,96
2021-10-03,0,0,0
2021-10-10,0,0,0
2021-10-17,0,32,32
2021-10-24,0,0,0
2021-10-31,0,0,0
2021-11-07,0,0,0
2021-11-14,0,0,0
2021-11-21,0,0,0
2021-11-28,0,0,0
2021-12-05,0,0,0
2021-12-12,0,0,0
2021-12-19,0,0,0
2021-12-26,0,31,31
2022-01-02,0,0,0
2022-01-09,0,0,0
2022-01-16,0,0,0
2022-01-23,0,0,0
2022-01-30,30,0,30
2022-02-06,0,0,0
2022-02-13,0,0,0
2022-02-20,0,0,0
2022-02-27,19,53,72
